Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sat,8/31/2019,15:00 (09:00),P'borough Utd,,Sunderland,,ABAX Stadium,,,
6,Sat,8/31/2019,15:00 (09:00),Blackpool,,Portsmouth,,Bloomfield Road,,,
6,Sat,8/31/2019,15:00 (09:00),Acc'ton Stanley,,MK Dons,,Wham Stadium,,,
6,Sat,8/31/2019,15:00 (09:00),AFC Wimbledon,,Wycombe,,The Energy Check County Ground,,,
6,Sat,8/31/2019,15:00 (09:00),Bury,,Doncaster,,Gigg Lane,,,
6,Sat,8/31/2019,15:00 (09:00),Ipswich Town,,Shrewsbury,,Portman Road Stadium,,,
6,Sat,8/31/2019,15:00 (09:00),Southend United,,Rochdale,,Roots Hall Stadium,,,
6,Sat,8/31/2019,15:00 (09:00),Gillingham,,Bolton,,MEMS Priestfield Stadium,,,
6,Sat,8/31/2019,15:00 (09:00),Burton Albion,,Bristol Rovers,,Pirelli Stadium,,,
6,Sat,8/31/2019,15:00 (09:00),Rotherham Utd,,Tranmere Rovers,,Roots Hall Stadium,,,
6,Sat,8/31/2019,15:00 (09:00),Oxford United,,Coventry City,,The Kassam Stadium,,,
6,Sat,8/31/2019,15:00 (09:00),Lincoln City,,Fleetwood Town,,Sincil Bank Stadium,,,
,,,,,,,,,,,
7,Fri,9/6/2019,,Bolton,,Bury,,Macron Stadium,,,
7,Fri,9/6/2019,,Shrewsbury,,P'borough Utd,,Montgomery Waters Meadow,,,
7,Fri,9/6/2019,,Wycombe,,Lincoln City,,Adams Park,,,
7,Fri,9/6/2019,,Fleetwood Town,,Oxford United,,Highbury Stadium,,,
7,Fri,9/6/2019,,Bristol Rovers,,Acc'ton Stanley,,Memorial Stadium,,,
7,Fri,9/6/2019,,Tranmere Rovers,,Gillingham,,Prenton Park,,,
7,Fri,9/6/2019,,Sunderland,,Burton Albion,,Stadium of Light,,,
7,Fri,9/6/2019,,Doncaster,,Rotherham Utd,,Keepmoat Stadium,,,
7,Fri,9/6/2019,,Rochdale,,Ipswich Town,,Crown Oil Arena,,,
7,Fri,9/6/2019,,Coventry City,,Blackpool,,St Andrew's Trillion Trophy Stadium,,,
7,Fri,9/6/2019,,MK Dons,,AFC Wimbledon,,Stadium mk,,,
7,Fri,9/6/2019,,Portsmouth,,Southend United,,Fratton Park,,,
,,,,,,,,,,,
8,Fri,9/13/2019,,Rotherham Utd,,Bolton,,Roots Hall Stadium,,,
8,Fri,9/13/2019,,Lincoln City,,Bristol Rovers,,Sincil Bank Stadium,,,
8,Fri,9/13/2019,,Ipswich Town,,Doncaster,,Portman Road Stadium,,,
8,Fri,9/13/2019,,Burton Albion,,Coventry City,,Pirelli Stadium,,,
8,Fri,9/13/2019,,AFC Wimbledon,,Shrewsbury,,The Energy Check County Ground,,,
8,Fri,9/13/2019,,Acc'ton Stanley,,Sunderland,,Wham Stadium,,,
8,Fri,9/13/2019,,Oxford United,,Tranmere Rovers,,The Kassam Stadium,,,
8,Fri,9/13/2019,,Southend United,,Fleetwood Town,,Roots Hall Stadium,,,
8,Fri,9/13/2019,,Gillingham,,Wycombe,,MEMS Priestfield Stadium,,,
8,Fri,9/13/2019,,Bury,,Portsmouth,,Gigg Lane,,,
8,Fri,9/13/2019,,Blackpool,,MK Dons,,Bloomfield Road,,,
8,Fri,9/13/2019,,P'borough Utd,,Rochdale,,ABAX Stadium,,,
,,,,,,,,,,,
9,Mon,9/16/2019,,Fleetwood Town,,Bury,,Highbury Stadium,,,
9,Mon,9/16/2019,,Sunderland,,Rotherham Utd,,Stadium of Light,,,
9,Mon,9/16/2019,,Tranmere Rovers,,P'borough Utd,,Prenton Park,,,
9,Mon,9/16/2019,,Shrewsbury,,Southend United,,Montgomery Waters Meadow,,,
9,Mon,9/16/2019,,Portsmouth,,Burton Albion,,Fratton Park,,,
9,Mon,9/16/2019,,MK Dons,,Ipswich Town,,Stadium mk,,,
9,Mon,9/16/2019,,Rochdale,,Lincoln City,,Crown Oil Arena,,,
9,Mon,9/16/2019,,Doncaster,,Blackpool,,Keepmoat Stadium,,,
9,Mon,9/16/2019,,Bristol Rovers,,Gillingham,,Memorial Stadium,,,
9,Mon,9/16/2019,,Wycombe,,Acc'ton Stanley,,Adams Park,,,
9,Mon,9/16/2019,,Bolton,,Oxford United,,Macron Stadium,,,
9,Mon,9/16/2019,,Coventry City,,AFC Wimbledon,,St Andrew's Trillion Trophy Stadium,,,
,,,,,,,,,,,
10,Fri,9/20/2019,,Rotherham Utd,,Shrewsbury,,Roots Hall Stadium,,,
10,Fri,9/20/2019,,Bolton,,Sunderland,,Macron Stadium,,,
10,Fri,9/20/2019,,Wycombe,,Portsmouth,,Adams Park,,,
10,Fri,9/20/2019,,Acc'ton Stanley,,Blackpool,,Wham Stadium,,,
10,Fri,9/20/2019,,Bury,,Coventry City,,Gigg Lane,,,
10,Fri,9/20/2019,,Lincoln City,,Oxford United,,Sincil Bank Stadium,,,
10,Fri,9/20/2019,,AFC Wimbledon,,Bristol Rovers,,The Energy Check County Ground,,,
10,Fri,9/20/2019,,MK Dons,,Southend United,,Stadium mk,,,
10,Fri,9/20/2019,,Tranmere Rovers,,Burton Albion,,Prenton Park,,,
10,Fri,9/20/2019,,Doncaster,,P'borough Utd,,Keepmoat Stadium,,,
10,Fri,9/20/2019,,Gillingham,,Ipswich Town,,MEMS Priestfield Stadium,,,
10,Fri,9/20/2019,,Fleetwood Town,,Rochdale,,Highbury Stadium,,,
,,,,,,,,,,,
11,Fri,9/27/2019,,Portsmouth,,Bolton,,Fratton Park,,,
11,Fri,9/27/2019,,Oxford United,,Gillingham,,The Kassam Stadium,,,
11,Fri,9/27/2019,,Burton Albion,,Bury,,Pirelli Stadium,,,
11,Fri,9/27/2019,,Blackpool,,Lincoln City,,Bloomfield Road,,,
11,Fri,9/27/2019,,Shrewsbury,,Fleetwood Town,,Montgomery Waters Meadow,,,
11,Fri,9/27/2019,,Ipswich Town,,Tranmere Rovers,,Portman Road Stadium,,,
11,Fri,9/27/2019,,Southend United,,Acc'ton Stanley,,Roots Hall Stadium,,,
11,Fri,9/27/2019,,Coventry City,,Doncaster,,St Andrew's Trillion Trophy Stadium,,,
11,Fri,9/27/2019,,Rochdale,,Wycombe,,Crown Oil Arena,,,
11,Fri,9/27/2019,,Bristol Rovers,,Rotherham Utd,,Memorial Stadium,,,
11,Fri,9/27/2019,,Sunderland,,MK Dons,,Stadium of Light,,,
11,Fri,9/27/2019,,P'borough Utd,,AFC Wimbledon,,ABAX Stadium,,,
,,,,,,,,,,,
12,Fri,10/4/2019,,Bolton,,Blackpool,,Macron Stadium,,,
12,Fri,10/4/2019,,Wycombe,,P'borough Utd,,Adams Park,,,
12,Fri,10/4/2019,,Lincoln City,,Sunderland,,Sincil Bank Stadium,,,
12,Fri,10/4/2019,,Tranmere Rovers,,Shrewsbury,,Prenton Park,,,
12,Fri,10/4/2019,,Bury,,Bristol Rovers,,Gigg Lane,,,
12,Fri,10/4/2019,,MK Dons,,Burton Albion,,Stadium mk,,,
12,Fri,10/4/2019,,Doncaster,,Portsmouth,,Keepmoat Stadium,,,
12,Fri,10/4/2019,,Gillingham,,Southend United,,MEMS Priestfield Stadium,,,
12,Fri,10/4/2019,,Fleetwood Town,,Ipswich Town,,Highbury Stadium,,,
12,Fri,10/4/2019,,Acc'ton Stanley,,Oxford United,,Wham Stadium,,,
12,Fri,10/4/2019,,Rotherham Utd,,Coventry City,,Roots Hall Stadium,,,
12,Fri,10/4/2019,,AFC Wimbledon,,Rochdale,,The Energy Check County Ground,,,
,,,,,,,,,,,
13,Fri,10/11/2019,,Coventry City,,Tranmere Rovers,,St Andrew's Trillion Trophy Stadium,,,
13,Fri,10/11/2019,,Southend United,,AFC Wimbledon,,Roots Hall Stadium,,,
13,Fri,10/11/2019,,Shrewsbury,,Bury,,Montgomery Waters Meadow,,,
13,Fri,10/11/2019,,Sunderland,,Fleetwood Town,,Stadium of Light,,,
13,Fri,10/11/2019,,Burton Albion,,Bolton,,Pirelli Stadium,,,
13,Fri,10/11/2019,,Oxford United,,Doncaster,,The Kassam Stadium,,,
13,Fri,10/11/2019,,Rochdale,,Acc'ton Stanley,,Crown Oil Arena,,,
13,Fri,10/11/2019,,Blackpool,,Rotherham Utd,,Bloomfield Road,,,
13,Fri,10/11/2019,,Bristol Rovers,,MK Dons,,Memorial Stadium,,,
13,Fri,10/11/2019,,Portsmouth,,Gillingham,,Fratton Park,,,
13,Fri,10/11/2019,,Ipswich Town,,Wycombe,,Portman Road Stadium,,,
13,Fri,10/11/2019,,P'borough Utd,,Lincoln City,,ABAX Stadium,,,
,,,,,,,,,,,
14,Fri,10/18/2019,,Rotherham Utd,,Oxford United,,Roots Hall Stadium,,,
14,Fri,10/18/2019,,Gillingham,,P'borough Utd,,MEMS Priestfield Stadium,,,
14,Fri,10/18/2019,,Fleetwood Town,,Burton Albion,,Highbury Stadium,,,
14,Fri,10/18/2019,,Bury,,Blackpool,,Gigg Lane,,,
14,Fri,10/18/2019,,Wycombe,,Sunderland,,Adams Park,,,
14,Fri,10/18/2019,,Tranmere Rovers,,Southend United,,Prenton Park,,,
