Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
25,Tue,12/31/2019,,Lincoln City,,P'borough Utd,,Sincil Bank Stadium,,,
25,Tue,12/31/2019,,Bury,,Shrewsbury,,Gigg Lane,,,
,,,,,,,,,,,
26,Fri,1/3/2020,,Blackpool,,Bolton,,Bloomfield Road,,,
26,Fri,1/3/2020,,Bristol Rovers,,Bury,,Memorial Stadium,,,
26,Fri,1/3/2020,,P'borough Utd,,Wycombe,,ABAX Stadium,,,
26,Fri,1/3/2020,,Ipswich Town,,Fleetwood Town,,Portman Road Stadium,,,
26,Fri,1/3/2020,,Sunderland,,Lincoln City,,Stadium of Light,,,
26,Fri,1/3/2020,,Oxford United,,Acc'ton Stanley,,The Kassam Stadium,,,
26,Fri,1/3/2020,,Shrewsbury,,Tranmere Rovers,,Montgomery Waters Meadow,,,
26,Fri,1/3/2020,,Southend United,,Gillingham,,Roots Hall Stadium,,,
26,Fri,1/3/2020,,Coventry City,,Rotherham Utd,,St Andrew's Trillion Trophy Stadium,,,
26,Fri,1/3/2020,,Portsmouth,,Doncaster,,Fratton Park,,,
26,Fri,1/3/2020,,Burton Albion,,MK Dons,,Pirelli Stadium,,,
26,Fri,1/3/2020,,Rochdale,,AFC Wimbledon,,Crown Oil Arena,,,
,,,,,,,,,,,
27,Fri,1/10/2020,,Burton Albion,,Fleetwood Town,,Pirelli Stadium,,,
27,Fri,1/10/2020,,Rochdale,,Bolton,,Crown Oil Arena,,,
27,Fri,1/10/2020,,Southend United,,Tranmere Rovers,,Roots Hall Stadium,,,
27,Fri,1/10/2020,,Ipswich Town,,Acc'ton Stanley,,Portman Road Stadium,,,
27,Fri,1/10/2020,,Oxford United,,Rotherham Utd,,The Kassam Stadium,,,
27,Fri,1/10/2020,,Shrewsbury,,Lincoln City,,Montgomery Waters Meadow,,,
27,Fri,1/10/2020,,Blackpool,,Bury,,Bloomfield Road,,,
27,Fri,1/10/2020,,Portsmouth,,AFC Wimbledon,,Fratton Park,,,
27,Fri,1/10/2020,,Sunderland,,Wycombe,,Stadium of Light,,,
27,Fri,1/10/2020,,Bristol Rovers,,Doncaster,,Memorial Stadium,,,
27,Fri,1/10/2020,,P'borough Utd,,Gillingham,,ABAX Stadium,,,
27,Fri,1/10/2020,,Coventry City,,MK Dons,,St Andrew's Trillion Trophy Stadium,,,
,,,,,,,,,,,
28,Fri,1/17/2020,,Doncaster,,Coventry City,,Keepmoat Stadium,,,
28,Fri,1/17/2020,,Lincoln City,,Blackpool,,Sincil Bank Stadium,,,
28,Fri,1/17/2020,,Rotherham Utd,,Bristol Rovers,,Roots Hall Stadium,,,
28,Fri,1/17/2020,,Wycombe,,Rochdale,,Adams Park,,,
28,Fri,1/17/2020,,Tranmere Rovers,,Ipswich Town,,Prenton Park,,,
28,Fri,1/17/2020,,Fleetwood Town,,Shrewsbury,,Highbury Stadium,,,
28,Fri,1/17/2020,,Acc'ton Stanley,,Southend United,,Wham Stadium,,,
28,Fri,1/17/2020,,Gillingham,,Oxford United,,MEMS Priestfield Stadium,,,
28,Fri,1/17/2020,,MK Dons,,Sunderland,,Stadium mk,,,
28,Fri,1/17/2020,,AFC Wimbledon,,P'borough Utd,,The Energy Check County Ground,,,
28,Fri,1/17/2020,,Bury,,Burton Albion,,Gigg Lane,,,
28,Fri,1/17/2020,,Bolton,,Portsmouth,,Macron Stadium,,,
,,,,,,,,,,,
29,Fri,1/24/2020,,Sunderland,,Doncaster,,Stadium of Light,,,
29,Fri,1/24/2020,,P'borough Utd,,Rotherham Utd,,ABAX Stadium,,,
29,Fri,1/24/2020,,Ipswich Town,,Lincoln City,,Portman Road Stadium,,,
29,Fri,1/24/2020,,Coventry City,,Wycombe,,St Andrew's Trillion Trophy Stadium,,,
29,Fri,1/24/2020,,Rochdale,,Gillingham,,Crown Oil Arena,,,
29,Fri,1/24/2020,,Southend United,,Bury,,Roots Hall Stadium,,,
29,Fri,1/24/2020,,Portsmouth,,MK Dons,,Fratton Park,,,
29,Fri,1/24/2020,,Burton Albion,,Acc'ton Stanley,,Pirelli Stadium,,,
29,Fri,1/24/2020,,Shrewsbury,,Bolton,,Montgomery Waters Meadow,,,
29,Fri,1/24/2020,,Bristol Rovers,,Fleetwood Town,,Memorial Stadium,,,
29,Fri,1/24/2020,,Blackpool,,Tranmere Rovers,,Bloomfield Road,,,
29,Fri,1/24/2020,,Oxford United,,AFC Wimbledon,,The Kassam Stadium,,,
,,,,,,,,,,,
30,Mon,1/27/2020,,Wycombe,,Blackpool,,Adams Park,,,
30,Mon,1/27/2020,,Tranmere Rovers,,Sunderland,,Prenton Park,,,
30,Mon,1/27/2020,,Lincoln City,,Portsmouth,,Sincil Bank Stadium,,,
30,Mon,1/27/2020,,Fleetwood Town,,Coventry City,,Highbury Stadium,,,
30,Mon,1/27/2020,,Bolton,,Bristol Rovers,,Macron Stadium,,,
30,Mon,1/27/2020,,Rotherham Utd,,Ipswich Town,,Roots Hall Stadium,,,
30,Mon,1/27/2020,,Bury,,Oxford United,,Gigg Lane,,,
30,Mon,1/27/2020,,AFC Wimbledon,,Burton Albion,,The Energy Check County Ground,,,
30,Mon,1/27/2020,,Doncaster,,Southend United,,Keepmoat Stadium,,,
30,Mon,1/27/2020,,MK Dons,,Rochdale,,Stadium mk,,,
30,Mon,1/27/2020,,Acc'ton Stanley,,P'borough Utd,,Wham Stadium,,,
30,Mon,1/27/2020,,Gillingham,,Shrewsbury,,MEMS Priestfield Stadium,,,
,,,,,,,,,,,
31,Fri,1/31/2020,,Southend United,,Lincoln City,,Roots Hall Stadium,,,
31,Fri,1/31/2020,,MK Dons,,Wycombe,,Stadium mk,,,
31,Fri,1/31/2020,,Oxford United,,Blackpool,,The Kassam Stadium,,,
31,Fri,1/31/2020,,Gillingham,,Bury,,MEMS Priestfield Stadium,,,
31,Fri,1/31/2020,,Bolton,,Tranmere Rovers,,Macron Stadium,,,
31,Fri,1/31/2020,,Fleetwood Town,,Doncaster,,Highbury Stadium,,,
31,Fri,1/31/2020,,Portsmouth,,Sunderland,,Fratton Park,,,
31,Fri,1/31/2020,,Bristol Rovers,,Coventry City,,Memorial Stadium,,,
31,Fri,1/31/2020,,Rochdale,,Shrewsbury,,Crown Oil Arena,,,
31,Fri,1/31/2020,,Ipswich Town,,P'borough Utd,,Portman Road Stadium,,,
31,Fri,1/31/2020,,Rotherham Utd,,Burton Albion,,Roots Hall Stadium,,,
31,Fri,1/31/2020,,Acc'ton Stanley,,AFC Wimbledon,,Wham Stadium,,,
,,,,,,,,,,,
32,Fri,2/7/2020,,Sunderland,,Ipswich Town,,Stadium of Light,,,
32,Fri,2/7/2020,,Bury,,Acc'ton Stanley,,Gigg Lane,,,
32,Fri,2/7/2020,,Doncaster,,Rochdale,,Keepmoat Stadium,,,
32,Fri,2/7/2020,,Wycombe,,Bristol Rovers,,Adams Park,,,
32,Fri,2/7/2020,,Coventry City,,Bolton,,St Andrew's Trillion Trophy Stadium,,,
32,Fri,2/7/2020,,Lincoln City,,Rotherham Utd,,Sincil Bank Stadium,,,
32,Fri,2/7/2020,,AFC Wimbledon,,Fleetwood Town,,The Energy Check County Ground,,,
32,Fri,2/7/2020,,P'borough Utd,,Oxford United,,ABAX Stadium,,,
32,Fri,2/7/2020,,Shrewsbury,,MK Dons,,Montgomery Waters Meadow,,,
32,Fri,2/7/2020,,Blackpool,,Southend United,,Bloomfield Road,,,
32,Fri,2/7/2020,,Tranmere Rovers,,Portsmouth,,Prenton Park,,,
32,Fri,2/7/2020,,Burton Albion,,Gillingham,,Pirelli Stadium,,,
,,,,,,,,,,,
33,Mon,2/10/2020,,Doncaster,,Bolton,,Keepmoat Stadium,,,
33,Mon,2/10/2020,,Coventry City,,Portsmouth,,St Andrew's Trillion Trophy Stadium,,,
33,Mon,2/10/2020,,P'borough Utd,,Southend United,,ABAX Stadium,,,
33,Mon,2/10/2020,,Sunderland,,Rochdale,,Stadium of Light,,,
33,Mon,2/10/2020,,AFC Wimbledon,,Ipswich Town,,The Energy Check County Ground,,,
33,Mon,2/10/2020,,Bury,,Rotherham Utd,,Gigg Lane,,,
33,Mon,2/10/2020,,Wycombe,,Fleetwood Town,,Adams Park,,,
33,Mon,2/10/2020,,Shrewsbury,,Acc'ton Stanley,,Montgomery Waters Meadow,,,
33,Mon,2/10/2020,,Burton Albion,,Oxford United,,Pirelli Stadium,,,
33,Mon,2/10/2020,,Blackpool,,Gillingham,,Bloomfield Road,,,
33,Mon,2/10/2020,,Lincoln City,,MK Dons,,Sincil Bank Stadium,,,
33,Mon,2/10/2020,,Tranmere Rovers,,Bristol Rovers,,Prenton Park,,,
,,,,,,,,,,,
34,Fri,2/14/2020,,Portsmouth,,Shrewsbury,,Fratton Park,,,
34,Fri,2/14/2020,,Rochdale,,Tranmere Rovers,,Crown Oil Arena,,,
34,Fri,2/14/2020,,Fleetwood Town,,P'borough Utd,,Highbury Stadium,,,
34,Fri,2/14/2020,,Bolton,,Wycombe,,Macron Stadium,,,
34,Fri,2/14/2020,,Acc'ton Stanley,,Lincoln City,,Wham Stadium,,,
34,Fri,2/14/2020,,Oxford United,,Sunderland,,The Kassam Stadium,,,
34,Fri,2/14/2020,,Rotherham Utd,,AFC Wimbledon,,Roots Hall Stadium,,,
34,Fri,2/14/2020,,Ipswich Town,,Burton Albion,,Portman Road Stadium,,,
34,Fri,2/14/2020,,Bristol Rovers,,Blackpool,,Memorial Stadium,,,
34,Fri,2/14/2020,,Southend United,,Coventry City,,Roots Hall Stadium,,,
34,Fri,2/14/2020,,MK Dons,,Bury,,Stadium mk,,,
34,Fri,2/14/2020,,Gillingham,,Doncaster,,MEMS Priestfield Stadium,,,
,,,,,,,,,,,
35,Fri,2/21/2020,,Shrewsbury,,Doncaster,,Montgomery Waters Meadow,,,
35,Fri,2/21/2020,,Southend United,,Burton Albion,,Roots Hall Stadium,,,
35,Fri,2/21/2020,,MK Dons,,Bolton,,Stadium mk,,,
35,Fri,2/21/2020,,Ipswich Town,,Oxford United,,Portman Road Stadium,,,
35,Fri,2/21/2020,,Lincoln City,,Gillingham,,Sincil Bank Stadium,,,
35,Fri,2/21/2020,,Sunderland,,Bristol Rovers,,Stadium of Light,,,
35,Fri,2/21/2020,,AFC Wimbledon,,Blackpool,,The Energy Check County Ground,,,
35,Fri,2/21/2020,,Wycombe,,Tranmere Rovers,,Adams Park,,,
35,Fri,2/21/2020,,Acc'ton Stanley,,Rotherham Utd,,Wham Stadium,,,
35,Fri,2/21/2020,,Fleetwood Town,,Portsmouth,,Highbury Stadium,,,
35,Fri,2/21/2020,,Rochdale,,Coventry City,,Crown Oil Arena,,,
35,Fri,2/21/2020,,P'borough Utd,,Bury,,ABAX Stadium,,,
,,,,,,,,,,,
36,Fri,2/28/2020,,Rotherham Utd,,MK Dons,,Roots Hall Stadium,,,
36,Fri,2/28/2020,,Coventry City,,Sunderland,,St Andrew's Trillion Trophy Stadium,,,
36,Fri,2/28/2020,,Blackpool,,Ipswich Town,,Bloomfield Road,,,
36,Fri,2/28/2020,,Tranmere Rovers,,Fleetwood Town,,Prenton Park,,,
36,Fri,2/28/2020,,Bristol Rovers,,Shrewsbury,,Memorial Stadium,,,
36,Fri,2/28/2020,,Doncaster,,Wycombe,,Keepmoat Stadium,,,
36,Fri,2/28/2020,,Bury,,Lincoln City,,Gigg Lane,,,
36,Fri,2/28/2020,,Gillingham,,AFC Wimbledon,,MEMS Priestfield Stadium,,,
36,Fri,2/28/2020,,Bolton,,Acc'ton Stanley,,Macron Stadium,,,
36,Fri,2/28/2020,,Burton Albion,,P'borough Utd,,Pirelli Stadium,,,
36,Fri,2/28/2020,,Portsmouth,,Rochdale,,Fratton Park,,,
36,Fri,2/28/2020,,Oxford United,,Southend United,,The Kassam Stadium,,,
,,,,,,,,,,,
37,Fri,3/6/2020,,Shrewsbury,,Oxford United,,Montgomery Waters Meadow,,,
37,Fri,3/6/2020,,Sunderland,,Gillingham,,Stadium of Light,,,
37,Fri,3/6/2020,,P'borough Utd,,Portsmouth,,ABAX Stadium,,,
37,Fri,3/6/2020,,Southend United,,Bristol Rovers,,Roots Hall Stadium,,,
37,Fri,3/6/2020,,Fleetwood Town,,Blackpool,,Highbury Stadium,,,
37,Fri,3/6/2020,,Ipswich Town,,Coventry City,,Portman Road Stadium,,,
37,Fri,3/6/2020,,AFC Wimbledon,,Bolton,,The Energy Check County Ground,,,
37,Fri,3/6/2020,,Rochdale,,Rotherham Utd,,Crown Oil Arena,,,
37,Fri,3/6/2020,,Wycombe,,Bury,,Adams Park,,,
37,Fri,3/6/2020,,Lincoln City,,Burton Albion,,Sincil Bank Stadium,,,
37,Fri,3/6/2020,,MK Dons,,Doncaster,,Stadium mk,,,
37,Fri,3/6/2020,,Acc'ton Stanley,,Tranmere Rovers,,Wham Stadium,,,
,,,,,,,,,,,
38,Fri,3/13/2020,,Blackpool,,Sunderland,,Bloomfield Road,,,
38,Fri,3/13/2020,,Coventry City,,Shrewsbury,,St Andrew's Trillion Trophy Stadium,,,
38,Fri,3/13/2020,,Portsmouth,,Acc'ton Stanley,,Fratton Park,,,
38,Fri,3/13/2020,,Burton Albion,,Wycombe,,Pirelli Stadium,,,
38,Fri,3/13/2020,,Rotherham Utd,,Southend United,,Roots Hall Stadium,,,
38,Fri,3/13/2020,,Oxford United,,MK Dons,,The Kassam Stadium,,,
38,Fri,3/13/2020,,Bolton,,P'borough Utd,,Macron Stadium,,,
38,Fri,3/13/2020,,Bristol Rovers,,Ipswich Town,,Memorial Stadium,,,
38,Fri,3/13/2020,,Gillingham,,Fleetwood Town,,MEMS Priestfield Stadium,,,
38,Fri,3/13/2020,,Bury,,Rochdale,,Gigg Lane,,,
38,Fri,3/13/2020,,Doncaster,,AFC Wimbledon,,Keepmoat Stadium,,,
38,Fri,3/13/2020,,Tranmere Rovers,,Lincoln City,,Prenton Park,,,
,,,,,,,,,,,
39,Fri,3/20/2020,,Ipswich Town,,Portsmouth,,Portman Road Stadium,,,
39,Fri,3/20/2020,,Shrewsbury,,Blackpool,,Montgomery Waters Meadow,,,
39,Fri,3/20/2020,,Southend United,,Bolton,,Roots Hall Stadium,,,
39,Fri,3/20/2020,,P'borough Utd,,Bristol Rovers,,ABAX Stadium,,,
39,Fri,3/20/2020,,Wycombe,,Oxford United,,Adams Park,,,
39,Fri,3/20/2020,,Acc'ton Stanley,,Doncaster,,Wham Stadium,,,
39,Fri,3/20/2020,,Rochdale,,Burton Albion,,Crown Oil Arena,,,
39,Fri,3/20/2020,,Lincoln City,,Coventry City,,Sincil Bank Stadium,,,
39,Fri,3/20/2020,,Sunderland,,Bury,,Stadium of Light,,,
39,Fri,3/20/2020,,AFC Wimbledon,,Tranmere Rovers,,The Energy Check County Ground,,,
39,Fri,3/20/2020,,MK Dons,,Gillingham,,Stadium mk,,,
39,Fri,3/20/2020,,Fleetwood Town,,Rotherham Utd,,Highbury Stadium,,,
,,,,,,,,,,,
40,Fri,3/27/2020,,Rotherham Utd,,Gillingham,,Roots Hall Stadium,,,
40,Fri,3/27/2020,,Tranmere Rovers,,MK Dons,,Prenton Park,,,
40,Fri,3/27/2020,,Acc'ton Stanley,,Coventry City,,Wham Stadium,,,
40,Fri,3/27/2020,,P'borough Utd,,Blackpool,,ABAX Stadium,,,
40,Fri,3/27/2020,,Bristol Rovers,,Rochdale,,Memorial Stadium,,,
40,Fri,3/27/2020,,Lincoln City,,AFC Wimbledon,,Sincil Bank Stadium,,,
40,Fri,3/27/2020,,Southend United,,Sunderland,,Roots Hall Stadium,,,
40,Fri,3/27/2020,,Bury,,Ipswich Town,,Gigg Lane,,,
40,Fri,3/27/2020,,Burton Albion,,Doncaster,,Pirelli Stadium,,,
40,Fri,3/27/2020,,Oxford United,,Portsmouth,,The Kassam Stadium,,,
40,Fri,3/27/2020,,Fleetwood Town,,Bolton,,Highbury Stadium,,,
40,Fri,3/27/2020,,Shrewsbury,,Wycombe,,Montgomery Waters Meadow,,,
,,,,,,,,,,,
41,Fri,4/3/2020,,Coventry City,,P'borough Utd,,St Andrew's Trillion Trophy Stadium,,,
41,Fri,4/3/2020,,Doncaster,,Tranmere Rovers,,Keepmoat Stadium,,,
41,Fri,4/3/2020,,AFC Wimbledon,,Bury,,The Energy Check County Ground,,,
41,Fri,4/3/2020,,Rochdale,,Oxford United,,Crown Oil Arena,,,
41,Fri,4/3/2020,,Portsmouth,,Bristol Rovers,,Fratton Park,,,
41,Fri,4/3/2020,,Sunderland,,Shrewsbury,,Stadium of Light,,,
41,Fri,4/3/2020,,Ipswich Town,,Southend United,,Portman Road Stadium,,,
41,Fri,4/3/2020,,Blackpool,,Burton Albion,,Bloomfield Road,,,
41,Fri,4/3/2020,,Wycombe,,Rotherham Utd,,Adams Park,,,
41,Fri,4/3/2020,,Bolton,,Lincoln City,,Macron Stadium,,,
41,Fri,4/3/2020,,Gillingham,,Acc'ton Stanley,,MEMS Priestfield Stadium,,,
41,Fri,4/3/2020,,MK Dons,,Fleetwood Town,,Stadium mk,,,
,,,,,,,,,,,
42,Thu,4/9/2020,,Bury,,Tranmere Rovers,,Gigg Lane,,,
42,Thu,4/9/2020,,Lincoln City,,Doncaster,,Sincil Bank Stadium,,,
42,Thu,4/9/2020,,P'borough Utd,,MK Dons,,ABAX Stadium,,,
42,Thu,4/9/2020,,Gillingham,,Coventry City,,MEMS Priestfield Stadium,,,
42,Thu,4/9/2020,,Oxford United,,Bristol Rovers,,The Kassam Stadium,,,
42,Thu,4/9/2020,,Rotherham Utd,,Portsmouth,,Roots Hall Stadium,,,
42,Thu,4/9/2020,,AFC Wimbledon,,Sunderland,,The Energy Check County Ground,,,
42,Thu,4/9/2020,,Ipswich Town,,Bolton,,Portman Road Stadium,,,
42,Thu,4/9/2020,,Southend United,,Wycombe,,Roots Hall Stadium,,,
42,Thu,4/9/2020,,Blackpool,,Rochdale,,Bloomfield Road,,,
42,Thu,4/9/2020,,Burton Albion,,Shrewsbury,,Pirelli Stadium,,,
42,Thu,4/9/2020,,Acc'ton Stanley,,Fleetwood Town,,Wham Stadium,,,
,,,,,,,,,,,
43,Sun,4/12/2020,,Fleetwood Town,,Lincoln City,,Highbury Stadium,,,
43,Sun,4/12/2020,,Doncaster,,Bury,,Keepmoat Stadium,,,
43,Sun,4/12/2020,,Shrewsbury,,Ipswich Town,,Montgomery Waters Meadow,,,
43,Sun,4/12/2020,,Rochdale,,Southend United,,Crown Oil Arena,,,
43,Sun,4/12/2020,,Wycombe,,AFC Wimbledon,,Adams Park,,,
43,Sun,4/12/2020,,Bolton,,Gillingham,,Macron Stadium,,,
43,Sun,4/12/2020,,Portsmouth,,Blackpool,,Fratton Park,,,
43,Sun,4/12/2020,,MK Dons,,Acc'ton Stanley,,Stadium mk,,,
43,Sun,4/12/2020,,Bristol Rovers,,Burton Albion,,Memorial Stadium,,,
43,Sun,4/12/2020,,Sunderland,,P'borough Utd,,Stadium of Light,,,
43,Sun,4/12/2020,,Tranmere Rovers,,Rotherham Utd,,Prenton Park,,,
43,Sun,4/12/2020,,Coventry City,,Oxford United,,St Andrew's Trillion Trophy Stadium,,,
,,,,,,,,,,,
44,Fri,4/17/2020,,Rotherham Utd,,Doncaster,,Roots Hall Stadium,,,
44,Fri,4/17/2020,,Gillingham,,Tranmere Rovers,,MEMS Priestfield Stadium,,,
44,Fri,4/17/2020,,Southend United,,Portsmouth,,Roots Hall Stadium,,,
44,Fri,4/17/2020,,AFC Wimbledon,,MK Dons,,The Energy Check County Ground,,,
44,Fri,4/17/2020,,Burton Albion,,Sunderland,,Pirelli Stadium,,,
44,Fri,4/17/2020,,Acc'ton Stanley,,Bristol Rovers,,Wham Stadium,,,
44,Fri,4/17/2020,,Blackpool,,Coventry City,,Bloomfield Road,,,
44,Fri,4/17/2020,,Oxford United,,Fleetwood Town,,The Kassam Stadium,,,
44,Fri,4/17/2020,,Ipswich Town,,Rochdale,,Portman Road Stadium,,,
44,Fri,4/17/2020,,P'borough Utd,,Shrewsbury,,ABAX Stadium,,,
44,Fri,4/17/2020,,Bury,,Bolton,,Gigg Lane,,,
44,Fri,4/17/2020,,Lincoln City,,Wycombe,,Sincil Bank Stadium,,,
,,,,,,,,,,,
45,Fri,4/24/2020,,Rochdale,,P'borough Utd,,Crown Oil Arena,,,
45,Fri,4/24/2020,,MK Dons,,Blackpool,,Stadium mk,,,
45,Fri,4/24/2020,,Sunderland,,Acc'ton Stanley,,Stadium of Light,,,
45,Fri,4/24/2020,,Wycombe,,Gillingham,,Adams Park,,,
45,Fri,4/24/2020,,Shrewsbury,,AFC Wimbledon,,Montgomery Waters Meadow,,,
45,Fri,4/24/2020,,Bristol Rovers,,Lincoln City,,Memorial Stadium,,,
45,Fri,4/24/2020,,Fleetwood Town,,Southend United,,Highbury Stadium,,,
45,Fri,4/24/2020,,Doncaster,,Ipswich Town,,Keepmoat Stadium,,,
45,Fri,4/24/2020,,Tranmere Rovers,,Oxford United,,Prenton Park,,,
45,Fri,4/24/2020,,Portsmouth,,Bury,,Fratton Park,,,
45,Fri,4/24/2020,,Bolton,,Rotherham Utd,,Macron Stadium,,,
45,Fri,4/24/2020,,Coventry City,,Burton Albion,,St Andrew's Trillion Trophy Stadium,,,
,,,,,,,,,,,
46,Sat,5/2/2020,,Lincoln City,,Rochdale,,Sincil Bank Stadium,,,
46,Sat,5/2/2020,,Acc'ton Stanley,,Wycombe,,Wham Stadium,,,
46,Sat,5/2/2020,,P'borough Utd,,Tranmere Rovers,,ABAX Stadium,,,
46,Sat,5/2/2020,,Blackpool,,Doncaster,,Bloomfield Road,,,
46,Sat,5/2/2020,,Southend United,,Shrewsbury,,Roots Hall Stadium,,,
46,Sat,5/2/2020,,Burton Albion,,Portsmouth,,Pirelli Stadium,,,
46,Sat,5/2/2020,,Oxford United,,Bolton,,The Kassam Stadium,,,
46,Sat,5/2/2020,,AFC Wimbledon,,Coventry City,,The Energy Check County Ground,,,
46,Sat,5/2/2020,,Ipswich Town,,MK Dons,,Portman Road Stadium,,,
46,Sat,5/2/2020,,Gillingham,,Bristol Rovers,,MEMS Priestfield Stadium,,,
46,Sat,5/2/2020,,Bury,,Fleetwood Town,,Gigg Lane,,,
46,Sat,5/2/2020,,Rotherham Utd,,Sunderland,,Roots Hall Stadium,,,
